시도명,시군구명,소재지주소,소재지지번주소,카메라대수,설치장소,단속구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
서울특별시,마포구,만리재옛길 13,,8,공덕초등학교주변,불법 주정차,2016,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로 173,,2,마포경찰서 주변,방범(공원),2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,굴레방로11,,20,아현초등학교 주변,방범(공원),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,신촌로34길 41,,20,행화정교회 주변,방범(공원),2016,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로 197,,15,공덕지구대 주변,방범(공원),2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로 201,,14,마포트라팰리스2차 주변,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,삼개로 19,,15,근신빌딩 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,도화4길 35,,19,도화동 동원베네스트 주변,불법 주정차,2017,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,삼개로29,,1,우성아파트 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로4나길 28,,5,진선미 어린이집 주변,방범,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로 52,,9,고려아카데미텔 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,도화길35,,7,도화공영주차장 주변,불법 주정차,2008,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로86,,10,서울대장학빌딩 주변,불법 주정차,2007,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,토정로37길38,,8,한국전력공사 주변,불법 주정차,2008,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,새창로 28,,20,공덕역 10번 출구 주변,불법 주정차,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로22길 3-7,,19,해모로아파트 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로63-8,,17,삼창프라자 주변,방범(그린파킹),2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로 45,,8,일진빌딩 주변,방범(그린파킹),2016,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로 328,,3,대한통운 주변,방범(그린파킹),2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,마포대로 33,,19,한화오벨리스크 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,큰우물로 66,,10,도화소어린이공원 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,큰우물로 48,,15,용강지구대 주변,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,대흥로20길 28,,19,마포아트센터 주변,불법 주정차,2010,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,대흥로 53,,1,롯데슈퍼 삼거리,불법 주정차,2005,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,백범로1길 53,,11,창천중학교 후문 주변,불법 주정차,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,백범로 170,,10,공덕파크자이 주변,방범,2018,서울특별시 마포구,02-3153-9655,44426
서울특별시,마포구,독막로291,,1,삼부골든타워 주변,방범,2011,서울특별시 마포구,02-3153-9655,44426
